"","sequencing_sample_id","sample_site_code","rna_plate_number","rna_plate_length","rna_plate_width","rna_sample_plate_position","rna_sample_plate_position_row","rna_sample_plate_position_column","sample_id","timestamp_sample_collected","sample_site_name","sample_city_name","rna_sample_plate_position_ind","sars_cov2_gc_l_mean","raw_ansis_sars_ct_repc_1","raw_ansis_sars_ct_repc_2","raw_ansis_sars_ct_repc_3","analysis_lab_code","analysis_lab_comments","sequencing_lab_code","sequencing_platform","sequencing_run_id","sequencing_run_date","sequencing_library_method","sequencing_library_protocol_version","sequencing_primer_set_version","sequencing_rna_plate_name","sequencing_rna_sample_plate_position","sequencing_lab_comments","data_model_version","grid_reference_east","grid_reference_north","grab_compo_ind","longitude","latitude","delta.mu","delta.se","delta.n","omicron.mu","omicron.se","omicron.n"
"11","","UKENSW_WXW_TP000086",2134712,12,8,"E7","E",7,"2110512-03","12122021:1000","TAUNTON STW",NA,"SAMPLE",-2,-2,-2,-2,"EA","2134712 Surv,NR- Contamination","","NovaSeq Sp","","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,328049,124551,"Composite",-3.02709195603727,51.0158161526003,NA,NA,NA,NA,NA,NA
"12","","UKENNE_YW_TP000030",2134712,12,8,"G1","G",1,"2109780-06","12122021:0810","NORTHALLERTON AND ROMANBY STW",NA,"SAMPLE",-2,-2,-2,-2,"EA","2134712 Surv,NR- Contamination","","NovaSeq Sp","","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,435472,492774,"Grab",-1.45605511919018,54.3293093723274,NA,NA,NA,NA,NA,NA
"13","","UKENMI_ST_TP000164",2134712,12,8,"A8","A",8,"2109653-18","12122021:1030","NUNEATON STW",NA,"SAMPLE",-2,-2,-2,-2,"EA","2134712 Surv,NR- Contamination","","NovaSeq Sp","","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,433479,295881,"Grab",-1.50758867604387,52.559740636136,NA,NA,NA,NA,NA,NA
"14","","UKENSW_WXW_TP000023",2134712,12,8,"D3","D",3,"2110508-10","12122021:0600","CHIPPENHAM STW",NA,"SAMPLE",-2,-2,-2,-2,"EA","2134712 Surv,NR- Contamination","","NovaSeq Sp","","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,391799,171371,"Composite",-2.11938319557728,51.4412712129437,NA,NA,NA,NA,NA,NA
"15","","UKENNE_NU_TP000012",2134712,12,8,"F10","F",10,"2109785-22","12122021:0730","MIDDLESBOROUGH   STW",NA,"SAMPLE",-2,-2,-2,-2,"EA","2134712 Surv,NR- Contamination","","NovaSeq Sp","","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,456119,524091,"Composite",-1.13267122951066,54.6088736267894,NA,NA,NA,NA,NA,NA
"16","1_seqloc_A1_2134512_A1_2109663_32","UKENMI_ST_TP000178",2134512,12,8,"A1","A",1,"2109663-32","10122021:1100","RETFORD STW",NA,"SAMPLE",10914.16542,34.93518743,36.58132121,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,469629,382781,"Grab",-0.955777916788292,53.3373618134085,0.710990156929572,0.0928619008687123,12,0.784395037448216,0.075283935156759,10
"17","1_seqloc_A10_2134512_A10_2109650_12","UKENMI_ST_TP000062",2134512,12,8,"A10","A",10,"2109650-12","08122021:1110","BIRMINGHAM EAST (COLESHILL) STW",NA,"SAMPLE",80616.8,32.486,32.603,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,419379,291391,"Grab",-1.7158320560551,52.5200584481416,0.99992853339813,6.04419755820285e-05,12,0.000302204231594532,0.000208053977935207,10
"18","1_seqloc_A11_2134512_A11_2109664_24","UKENMI_ST_TP000152",2134512,12,8,"A11","A",11,"2109664-24","10122021:1107","MELTON MOWBRAY STW",NA,"SAMPLE",814.4,-4,38.395,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,473489,318281,"Grab",-0.912507442976481,52.7571500473344,0.99994704511756,8.5149863759959e-06,10,0,0,6
"19","1_seqloc_A2_2134512_A2_2109649_03","UKENMI_ST_TP000137",2134512,12,8,"A2","A",2,"2109649-03","10122021:1100","LOUGHBOROUGH STW",NA,"SAMPLE",18990.4,35.626,34.148,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,453099,321301,"Grab",-1.21411323214897,52.7866799647627,0.968852137156848,0.0100187134046456,12,0.09126017259145,0.0130416686959137,10
"20","1_seqloc_A3_2134512_A3_2109638_26","UKENMI_ST_TP000163",2134512,12,8,"A3","A",3,"2109638-26","10122021:1100","NOTTINGHAM STW",NA,"SAMPLE",51745.6,32.804,33.765,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,464729,342221,"Grab",-1.03753964443457,52.9734438353373,0.8397629118057,0.0387437806586816,12,0.203445699084355,0.0133657152778979,10
"21","1_seqloc_A4_2134512_A4_2109655_20","UKENMI_ST_TP000182",2134512,12,8,"A4","A",4,"2109655-20","10122021:1100","RUGBY NEWBOLD STW",NA,"SAMPLE",20354.4,34.21,35.152,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,449419,276351,"Grab",-1.27536593295331,52.3829698868182,0.833249086404203,0.0283827414279623,12,0.243844031897235,0.0412864998420468,10
"22","1_seqloc_A5_2134512_A5_2109668_38","UKENMI_ST_TP000233",2134512,12,8,"A5","A",5,"2109668-38","10122021:1100","WIGSTON STW",NA,"SAMPLE",99397.6,32.159,32.304,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,459419,297141,"Grab",-1.12476474163217,52.5688579866246,0.981474608059859,0.00648646839642217,12,0.000154647824865497,6.0800364835467e-05,10
"23","1_seqloc_A6_2134512_A6_2109662_13","UKENMI_ST_TP000242",2134512,12,8,"A6","A",6,"2109662-13","10122021:1200","WORKSOP STW",NA,"SAMPLE",3175.266914,37.01825755,37.89836888,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,461019,378861,"Grab",-1.0858161484892,53.3031917554709,0.997700188166423,0.14247482451304,7,NA,NA,0
"24","1_seqloc_A7_2134512_A7_2109653_17","UKENMI_ST_TP000164",2134512,12,8,"A7","A",7,"2109653-17","10122021:1020","NUNEATON STW",NA,"SAMPLE",139687.2,31.802,31.641,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,433479,295881,"Grab",-1.50758867604387,52.559740636136,0.945747751111791,0.0259199878117792,12,0.0817543967029376,0.0119351849453597,10
"25","1_seqloc_A8_2134512_A8_2109656_18","UKENMI_ST_TP000100",2134512,12,8,"A8","A",8,"2109656-18","10122021:0915","WALSALL SOUTH   STW",NA,"SAMPLE",4193.054619,36.65579651,37.38802402,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,402189,301921,"Grab",-1.96910364275425,52.6150578203524,0.995165904487461,0.0288179357469966,12,0.000257233243835673,0.00019757841614061,10
"26","1_seqloc_A9_2134512_A9_2109636_15","UKENMI_ST_TP000222",2134512,12,8,"A9","A",9,"2109636-15","10122021:1230","LEICESTER STW",NA,"SAMPLE",20323.3551,34.08443201,35.42777847,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,459849,311851,"Grab",-1.11576021737002,52.701034031311,0.930151789791203,0.0197053545863289,12,0.0572760897408532,0.0150731129892881,10
"27","1_seqloc_B1_2134512_B1_2109646_24","UKENMI_ST_TP000184",2134512,12,8,"B1","B",1,"2109646-24","10122021:1100","TELFORD   STW",NA,"SAMPLE",30726.4,33.754,34.271,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,361299,313701,"Grab",-2.57439482233463,52.719567744108,0.790588120132393,0.0418453477742491,12,0.0467696446358645,0.00966411367829967,10
"28","1_seqloc_B10_2134512_B10_2108686_25","UKENTH_TWU_TP000125",2134512,12,8,"B10","B",10,"2108686-25","10122021:0900","LONDON (Riverside STW)",NA,"SAMPLE",11072.8,36.142,35.083,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,551499,181901,"Composite",0.181995098040373,51.5157223735868,0.844640878712429,0.0723038546634199,12,0.472049955086588,0.0614390430245949,10
"29","1_seqloc_B11_2134512_B11_2110624_24","UKENTH_TWU_TP000113",2134512,12,8,"B11","B",11,"2110624-24","10122021:1000","LONDON (Mogden STW)",NA,"SAMPLE",24756.8,34.218,34.418,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,515409,174721,"Composite",-0.340203309209039,51.4597096644356,0.867093547641073,0.0399417781836605,12,8.40071068081162e-05,0.000195694716242661,10
"30","1_seqloc_B2_2134512_B2_2109645_35","UKENMI_ST_TP000241",2134512,12,8,"B2","B",2,"2109645-35","10122021:1100","WORCESTER STW",NA,"SAMPLE",3329.6,37.175,37.488,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,384619,253411,"Grab",-2.22635536265162,52.1787351245092,0.999945739904231,4.9786490766276e-05,12,9.31144434025852e-05,9.3984962406015e-05,10
"31","1_seqloc_B3_2134512_B3_2108408_17","UKENMI_ST_TP000091",2134512,12,8,"B3","B",3,"2108408-17","10122021:1130","EVESHAM STW",NA,"SAMPLE",7336,35.704,36.753,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,403179,244671,"Grab",-1.95500468156661,52.1003674856691,0.999980278662499,9.32661816825571e-05,12,0.000826439917561335,0.000437773608505316,10
"32","1_seqloc_B4_2134512_B4_2109647_27","UKENMI_ST_TP000017",2134512,12,8,"B4","B",4,"2109647-27","10122021:0930","MALVERN   STW",NA,"SAMPLE",2646.387558,36.62833971,1000,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,379689,244931,"Grab",-2.29794323639755,52.1023363982158,0.999886698391117,0.000119847960345346,12,0.000128879318218259,0.000141242937853107,10
"33","1_seqloc_B5_2134512_B5_2109644_15","UKENMI_ST_TP000180",2134512,12,8,"B5","B",5,"2109644-15","10122021:0840","STOURBRIDGE & HALESOWEN   STW",NA,"SAMPLE",3742.4,36.792,37.616,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,387079,283821,"Grab",-2.1915578234511,52.4521894930423,1,0,2,NA,NA,0
"34","1_seqloc_B6_2134512_B6_2108700_18","UKENTH_TWU_TP000012",2134512,12,8,"B6","B",6,"2108700-18","10122021:0745","BANBURY, SPITAL FARM, BANBURY, STW""",NA,"SAMPLE",14560,35.724,34.676,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,446953,240274,"Grab",-1.31658808552866,52.0588645695501,0.979233941080034,0.0168953615658285,12,0.000621942521567231,0.000585560742906179,10
"35","1_seqloc_B7_2134512_B7_2108711_14","UKENTH_TWU_TP000004",2134512,12,8,"B7","B",7,"2108711-14","10122021:0815","ALTON, ALTON, HAMPSHIRE STW""",NA,"SAMPLE",66247.2,32.877,32.8,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,472899,139801,"Grab",-0.959072716720503,51.1528327837417,0.991321803371592,0.0042252058358745,12,0.00354985386447613,0.00610240772970743,10
"36","1_seqloc_B8_2134512_B8_2108699_49","UKENSO_SW_TP000002",2134512,12,8,"B8","B",8,"2108699-49","10122021:1130","LYMINGTON, PENNINGTON, NEW MILTON   STW""",NA,"SAMPLE",3106.701965,38.20127917,36.9194546,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,431073,93459,"Composite",-1.56100734183366,50.7399147896174,1,0,11,0.000189263132353798,0.000120423892100193,6
"37","1_seqloc_B9_2134512_B9_2108685_34","UKENTH_TWU_TP000054",2134512,12,8,"B9","B",9,"2108685-34","10122021:0001","LONDON (Deepham STW)",NA,"SAMPLE",38371.2,33.422,33.936,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,535659,193171,"Grab",-0.0417909505927405,51.621018353654,0.646005222154543,0.0623639868649686,12,0.472637367187539,0.0263414536487257,10
"38","1_seqloc_C1_2134512_C1_2108706_09","UKENTH_TWU_TP000021",2134512,12,8,"C1","C",1,"2108706-09","10122021:0720","RADLETT   STW",NA,"SAMPLE",6847.2,36.836,35.818,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,513709,201061,"Unspecified",-0.356142762379252,51.6967882917637,0.509378907878283,0.098797974259135,11,0.126865671641791,0.166666666666667,9
"39","1_seqloc_C10_2134512_C10_2109670_06","UKENMI_ST_TP000147",2134512,12,8,"C10","C",10,"2109670-06","10122021:1100","MARKET DRAYTON STW",NA,"SAMPLE",34310.4,34.211,33.519,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,366849,333201,"Grab",-2.49421700594328,52.8952253492907,0.999981455037739,8.12191255765834e-05,12,0,0,10
"40","1_seqloc_C11_2134512_C11_2108399_31","UKENMI_ST_TP000018",2134512,12,8,"C11","C",11,"2108399-31","10122021:1100","WOLVERHAMPTON (BARNHURST) STW",NA,"SAMPLE",40115.2,33.386,33.827,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,389999,301651,"Grab",-2.14913367723629,52.6125403446516,0.836931557188792,0.0404346805241026,12,0.368821201081349,0.0512387111551869,10
"41","1_seqloc_C2_2134512_C2_2110634_22","UKENTH_TWU_TP000100",2134512,12,8,"C2","C",2,"2110634-22","10122021:0001","LITTLE MARLOW STW",NA,"SAMPLE",30844,34.166,33.823,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,487709,186961,"Grab",-0.73575197316752,51.574702631647,0.88019808696832,0.0390356924011857,12,0.234219557097574,0.0582645593604049,10
"42","1_seqloc_C3_2134512_C3_2110653_16","UKENTH_TWU_TP000039",2134512,12,8,"C3","C",3,"2110653-16","10122021:0730","CHESHAM, BUCKS STW""",NA,"SAMPLE",207762.4,31.043,31.21,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,498089,199521,"Grab",-0.582500625223595,51.6858900542333,0.96068854926624,0.0140457531941149,12,0.041592943844255,0.0253484401064363,10
"43","1_seqloc_C4_2134512_C4_2109652_02","UKENMI_ST_TP000186",2134512,12,8,"C4","C",4,"2109652-02","10122021:1100","SCUNTHORPE STW",NA,"SAMPLE",22200.8,34.358,34.608,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,487449,405991,"Grab",-0.681788089687268,53.5432889754747,0.999948277645598,0.000574712643678144,12,0,0,10
"44","1_seqloc_C5_2134512_C5_2109669_09","UKENMI_ST_TP000139",2134512,12,8,"C5","C",5,"2109669-09","10122021:1000","LUDLOW STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,351699,273041,"Grab",-2.71058159260636,52.3532940844237,1,0,3,0,NA,1
"45","1_seqloc_C6_2134512_C6_2108696_47","UKENTH_TWU_TP000126",2134512,12,8,"C6","C",6,"2108696-47","10122021:1110","HERTFORD   STW",NA,"SAMPLE",6473.6,36.175,36.494,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,539251,209766,"Grab",0.0166801844580919,51.7692580735336,0.937693906924676,0.0501731223346296,12,0.00991445827813087,0.00402918671774685,10
"46","1_seqloc_C7_2134512_C7_2109667_22","UKENMI_ST_TP000130",2134512,12,8,"C7","C",7,"2109667-22","10122021:1100","LEEK STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,398109,353971,"Grab",-2.02968290081387,53.0829559951905,0.999923053247153,0.000307125307125279,11,0.000675002643213155,0.000273010920436817,10
"47","1_seqloc_C8_2134512_C8_2110643_24","UKENTH_TWU_TP000033",2134512,12,8,"C8","C",8,"2110643-24","10122021:0815","CAMBERLEY, CAMBERLEY, SURREY STW""",NA,"SAMPLE",1120,37.918,-4,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,485799,159501,"Grab",-0.769957245495039,51.3281457701733,-1,-1,-1,NA,-1,-1
"48","1_seqloc_C9_2134512_C9_2108715_14","UKENTH_TWU_TP000023",2134512,12,8,"C9","C",9,"2108715-14","10122021:1050","BORDON, BORDON, HANTS STW""",NA,"SAMPLE",7358.684273,35.34868501,37.88210967,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,480299,136201,"Grab",-0.854090769522419,51.1194789368875,0.999962640564875,6.26095667417963e-05,11,0.000172157024291344,7.91139240506329e-05,10
"49","1_seqloc_D1_2134512_D1_2108691_29","UKENTH_TWU_TP000103",2134512,12,8,"D1","D",1,"2108691-29","10122021:1005","LUTON STW",NA,"SAMPLE",134139.2,31.762,31.798,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,512349,217841,"Grab",-0.370389189992824,51.8478707259911,0.981523562257197,0.0043882849357783,12,0.00403807052412206,0.00106567453496645,10
"50","1_seqloc_D10_2134512_D10_2110636_27","UKENTH_TWU_TP000102",2134512,12,8,"D10","D",10,"2110636-27","10122021:0830","LONDON (Long Reach STW)",NA,"SAMPLE",9733.6,35.228,36.439,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,555599,176701,"Grab",0.238745563579027,51.4678890400026,0.740102560971887,0.0990721841133499,12,0.396614489599759,0.0433302474854768,10
"51","1_seqloc_D11_2134512_D11_2108708_42","UKENTH_TWU_TP000073",2134512,12,8,"D11","D",11,"2108708-42","10122021:0830","GUILDFORD, GUILDFORD, SURREY STW""",NA,"SAMPLE",18735.15747,34.31353771,35.31595878,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,500299,151601,"Grab",-0.564128004497805,51.2547636205289,0.69539047227081,0.0791012173008922,12,0.636096819104351,0.11619093529949,10
"52","1_seqloc_D2_2134512_D2_2108693_10","UKENTH_TWU_TP000106",2134512,12,8,"D2","D",2,"2108693-10","10122021:0845","MAPLE LODGE, BUCKS STW""",NA,"SAMPLE",11531.2,35.213,35.756,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,504199,191941,"Grab",-0.496404697909565,51.6166607417872,0.927252094550547,0.0513085826258878,12,0.000785680402942689,0.00039460131291734,10
"53","1_seqloc_D3_2134512_D3_2110631_04","UKENTH_TWU_TP000010",2134512,12,8,"D3","D",3,"2110631-04","10122021:1000","AYLESBURY, RABANS LANE, AYLESBU STW""",NA,"SAMPLE",11081.6,36.498,34.933,-2,"EA","2134512 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_1_2134512_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,478989,214851,"Grab",-0.855244990290592,51.8267036154291,0.973870116605669,0.0123375220599069,12,0.000132528445822242,0.00024330900243309,10
